date,N#,title,Nombre original,Nombre Final,url
2016-07-12,1,Стоячая волна в индукторе.(начало 2016г.),Стоячая волна в индукторе.(начало 2016г.).mp4,2016-07-12 - 1 - Standing wave in the inductor (early 2016).mp4,https://www.youtube.com/watch?v=XzHwPDZAXnM
2016-07-12,2,Четверть волновой резонатор.,Четверть волновой резонатор.mp4,2016-07-12 - 2 - Quarter-wave resonator.mp4,https://www.youtube.com/watch?v=wh23XTOE5jU
2016-07-12,3,Работа упровляемого ТТ предварительная настройка.,Работа упровляемого ТТ предварительная настройка.mp4,"2016-07-12 - 3 - Operation of the controlled Tesla Transformer, preliminary tuning.mp4",https://www.youtube.com/watch?v=GMcglx5I-O4
2016-07-12,4,Эффект статического разряда на антенне.,Эффект статического разряда на антенне.mp4,2016-07-12 - 4 - Static discharge effect on the antenna.mp4,https://www.youtube.com/watch?v=tL93CQ6QnYI
2016-07-12,5,Осциллограмма при статическом разряде на антенне.,Осциллограмма при статическом разряде на антенне.mp4,2016-07-12 - 5 - Oscillogram during static discharge on the antenna.mp4,https://www.youtube.com/watch?v=EwVWW89JMEM
2016-07-12,6,Разряд на воду с натриевым электролитом большой плотности.,Разряд на воду с натриевым электролитом большой плотности.mp4,2016-07-12 - 6 - Discharge onto water with a high-density sodium electrolyte.mp4,https://www.youtube.com/watch?v=2ylifwWtjlY
2016-07-12,7,"Инвертор напряжения 220 вольт AC 7,5 ампер в 800вольт DC 2 ампера.","Инвертор напряжения 220 вольт AC 7,5 ампер в 800вольт DC 2 ампера.mp4",2016-07-12 - 7 - Voltage inverter 220 volts AC 7.5 amps to 800 volts DC 2 amps.mp4,https://www.youtube.com/watch?v=lR3WPeITlsQ
2016-07-12,8,Разряд 750-800 вольт на воду с электролитом слабой концентрации.,Разряд 750-800 вольт на воду с электролитом слабой концентрации.mp4,2016-07-12 - 8 - Discharge of 750-800 volts onto water with a low-concentration electrolyte.mp4,https://www.youtube.com/watch?v=qqQCNej_m3Q
2016-07-12,9,Индукционный водонагреватель против чайника часть 1.MPG,Индукционный водонагреватель против чайника часть 1.MPG.mp4,2016-07-12 - 9 - Induction water heater vs kettle part 1.mp4,https://www.youtube.com/watch?v=wUVdeT9pxqs
2016-07-12,10,Электролиз в насыщенном электролите(установка на заказ для лаборатории).,Электролиз в насыщенном электролите(установка на заказ для лаборатории).mp4,2016-07-12 - 10 - Electrolysis in saturated electrolyte (custom installation for a laboratory).mp4,https://www.youtube.com/watch?v=txTNtCPtFII
2016-07-12,11,Индукционный водонагреватель против чайника часть 2.MPG,Индукционный водонагреватель против чайника часть 2.MPG.mp4,2016-07-12 - 11 - Induction water heater vs kettle part 2.mp4,https://www.youtube.com/watch?v=PrrcnQz3sVk
2016-07-12,12,Поиск волнового резонанса.,Поиск волнового резонанса.mp4,2016-07-12 - 12 - Search for wave resonance.mp4,https://www.youtube.com/watch?v=BuBYDSdk72s
2016-07-12,13,Работа контроллера.,Работа контроллера.mp4,2016-07-12 - 13 - Controller operation.mp4,https://www.youtube.com/watch?v=v7thzqWdNM0
2016-07-12,14,Настройка шняги.,Настройка шняги.mp4,2016-07-12 - 14 - Tuning the contraption.mp4,https://www.youtube.com/watch?v=Z-UaulS9EUA
2016-07-12,15,Настройка резонанса..3gp,Настройка резонанса.3gp.mp4,2016-07-12 - 15 - Resonance tuning.mp4,https://www.youtube.com/watch?v=RdEnx6hfshQ
2016-07-12,16,Базовая схема.,Базовая схема.mp4,2016-07-12 - 16 - Basic diagram.mp4,https://www.youtube.com/watch?v=ndLdQKqTbDs
2016-07-12,17,Резонанс бифа.,Резонанс  бифа.mp4,2016-07-12 - 17 - Bifilar resonance.mp4,https://www.youtube.com/watch?v=mJSEZMNRLXA
2016-07-12,18,Самозапит.,Самозапит.mp4,2016-07-12 - 18 - Self-running.mp4,https://www.youtube.com/watch?v=bVlQ2zH8i3E
2016-07-12,19,Блоки установки.,Блоки установки.mp4,2016-07-12 - 19 - Installation blocks.mp4,https://www.youtube.com/watch?v=wkbRbQ_r8AA
2016-07-12,20,Настроенная система.,Настроенная система.mp4,2016-07-12 - 20 - Tuned system.mp4,https://www.youtube.com/watch?v=BY1DRQHvcQ0
2016-07-12,21,Управляемай качер.,Управляемай качер.mp4,2016-07-12 - 21 - Controlled Kacher.mp4,https://www.youtube.com/watch?v=el1SkfaHmsI
2016-07-12,22,Обзор доски,Обзор доски.mp4,2016-07-12 - 22 - Board overview.mp4,https://www.youtube.com/watch?v=tnb8gUifKgk
2016-07-14,23,Пояснение от Сергея Алексеева по настройке частоты пуш-пула.,Пояснение от Сергея Алексеева по настройке частоты пуш-пула.mp4,2016-07-14 - 23 - Explanation from Sergey Alekseev on tuning the push-pull frequency.mp4,https://www.youtube.com/watch?v=MA7h1G_dvOo
2016-07-14,24,Сергей Алексеев сверх единичный съём энергие с лопатки в поле резонатора.,Сергей Алексеев сверх единичный съём энергие с лопатки в поле резонатора.mp4,"2016-07-14 - 24 - Sergey Alekseev, overunity energy extraction from the paddle in the resonator field.mp4",https://www.youtube.com/watch?v=1x6GSQ3GXBM
2016-07-14,25,Тест градиантной катушки. (опыты 2015г.),Тест градиантной катушки. (опыты 2015г.).mp4,2016-07-14 - 25 - Gradient coil test (2015 experiments).mp4,https://www.youtube.com/watch?v=__pfVMPdkAU
2016-07-14,26,Тест градиантной катушки с замером тока по классике на сопротивлении. (опыты 2015г.),Тест градиантной катушки с замером тока по классике на сопротивлении. (опыты 2015г.).mp4,2016-07-14 - 26 - Gradient coil test with classic current measurement on resistance (2015 experiments).mp4,https://www.youtube.com/watch?v=-Zu6sQgo3M8
2016-07-14,27,Градиантная катушка тест на волновые процессы по току.(опыты 2015г.),Градиантная катушка тест на волновые процессы по току.(опыты 2015г.).mp4,2016-07-14 - 27 - Gradient coil test for wave processes by current (2015 experiments).mp4,https://www.youtube.com/watch?v=_WHERwU--DQ
2016-07-14,28,Откуда происходит прибавка по току в градиантной катушке.(опыты 2015г .),Откуда происходит прибавка по току в градиантной катушке.(опыты 2015г .).mp4,2016-07-14 - 28 - Where the current gain comes from in the gradient coil (2015 experiments).mp4,https://www.youtube.com/watch?v=PBUp550HW8k
2016-07-15,29,Конференция 2 я часть,Конференция 2 я часть.mp4,2016-07-15 - 29 - Conference part 2.mp4,https://www.youtube.com/watch?v=tujYRJrqpyE
2016-07-18,30,Тест моей разработки в частной московской лаборатории.(2014г.),Тест моей разработки в частной московской лаборатории.(2014г.).mp4,2016-07-18 - 30 - Test of my development in a private Moscow laboratory (2014).mp4,https://www.youtube.com/watch?v=fyhtEa-jvGo
2016-08-11,46,Пуш-пулл схема и настройка.,Пуш-пулл схема и настройка.mp4,2016-08-11 - 46 - Push-pull circuit and tuning.mp4,https://www.youtube.com/watch?v=XDXTxPRPxSU
2016-08-12,47,Управление затвором Схема включения драйвера,Управление затвором  Схема включения драйвера.mp4,2016-08-12 - 47 - Gate control. Driver connection diagram.mp4,https://www.youtube.com/watch?v=jCest-tcObc
2016-08-13,48,Настройка датчиков тока.,Настройка датчиков тока.mp4,2016-08-13 - 48 - Tuning current sensors.mp4,https://www.youtube.com/watch?v=NGG8Hk68Ikw
2016-08-18,49,Контроллер БТГ,Контроллер БТГ.mp4,2016-08-18 - 49 - FU (Free Energy) Controller.mp4,https://www.youtube.com/watch?v=jeEaKI1TZ3s
2016-08-21,50,Контроллер Т.Т.,Контроллер Т.Т.mp4,2016-08-21 - 50 - Tesla Transformer Controller.mp4,https://www.youtube.com/watch?v=Bhc1xFNgrVA
2016-09-02,51,Резонатор (граната),Резонатор (граната).mp4,2016-09-02 - 51 - Resonator (grenade).mp4,https://www.youtube.com/watch?v=pNFXlo5jv4g
2016-09-02,52,Правильные эффекты в резонаторе. (Человек намотал по программе с сайта Горчилина),Правильные эффекты в резонаторе.  (Человек намотал по программе с сайта Горчилина).mp4,2016-09-02 - 52 - Correct effects in the resonator (Wound by a user according to the program from Gorchilin's website).mp4,https://www.youtube.com/watch?v=oCAy88JFeA4
2016-09-03,53,Влияние ТТ на ток в контуре пуш - пула.,Влияние ТТ на ток в контуре пуш - пула.mp4,2016-09-03 - 53 - Influence of Tesla Transformer on the current in the push-pull circuit.mp4,https://www.youtube.com/watch?v=Dp5yGfWJzHI
2016-09-12,54,Преобразователь для питания ТТ или качера.,Преобразователь для питания ТТ или качера.mp4,2016-09-12 - 54 - Converter for powering a Tesla Transformer or Kacher.mp4,https://www.youtube.com/watch?v=rlXcRHgyfnY
2016-09-22,55,Усилитель импульсов для генератора сигналов,Усилитель импульсов для генератора сигналов.mp4,2016-09-22 - 55 - Pulse amplifier for signal generator.mp4,https://www.youtube.com/watch?v=-2jN0kOP1os
2016-09-25,56,Маленький электро котёл для батареи отопления без циркуляционного насоса,Маленький электро котёл для батареи отопления без циркуляционного насоса.mp4,2016-09-25 - 56 - Small electric boiler for a heating radiator without a circulation pump.mp4,https://www.youtube.com/watch?v=7k9LstM8QP4
2016-10-15,57,Методика поиска рабочей частоты пуш-пула.,Методика поиска рабочей частоты пуш-пула.mp4,2016-10-15 - 57 - Methodology for finding the operating frequency of the push-pull.mp4,https://www.youtube.com/watch?v=ObQFTTJimuI
2016-10-27,58,Подъёмник с электроприводом,Подъёмник с электроприводом.mp4,2016-10-27 - 58 - Electric lift.mp4,https://www.youtube.com/watch?v=VmPgmHLbxlg
2016-11-03,59,Высокодобротный качер,Высокодобротный качер.mp4,2016-11-03 - 59 - High-Q Kacher.mp4,https://www.youtube.com/watch?v=sD0iBxNmasE
2016-11-26,60,"Метод поиска рабочей частоты высоковольтной системы (для работы на ""глюке микросхемы TL494"")",Метод поиска рабочей частоты высоковольтной системы (для работы на 'глюке микросхемы TL494').mp4,2016-11-26 - 60 - Method for finding the operating frequency of a high-voltage system (for working on the TL494 chip glitch).mp4,https://www.youtube.com/watch?v=v6FrGTF731o
2016-12-13,61,Управляемый качер,Управляемый качер.mp4,2016-12-13 - 61 - Controlled Kacher.mp4,https://www.youtube.com/watch?v=NGiBxuLgjrw
2016-12-29,62,Самодельные ракеты.,Самодельные ракеты.mp4,2016-12-29 - 62 - DIY rockets.mp4,https://www.youtube.com/watch?v=YviOIfaNKYA
2017-01-16,63,Блок питания высоковольтный,Блок питания высоковольтный.mp4,2017-01-16 - 63 - High-voltage power supply.mp4,https://www.youtube.com/watch?v=YohJeG2DsSA
2017-01-31,64,Общая схема устройства,Общая схема устройства.mp4,2017-01-31 - 64 - General device diagram.mp4,https://www.youtube.com/watch?v=YkyeKCnzU3Y
2017-02-24,65,Усилитель импульсов для лабораторного генератора сигналов с гальванической развязкой,Усилитель импульсов для лабораторного генератора сигналов с гальванической развязкой.mp4,2017-02-24 - 65 - Pulse amplifier for laboratory signal generator with galvanic isolation.mp4,https://www.youtube.com/watch?v=wZa8qY2Wexs
2017-04-20,66,Бифиляр Николы Тесла,Бифиляр Николы Тесла.mp4,2017-04-20 - 66 - Nikola Tesla Bifilar.mp4,https://www.youtube.com/watch?v=COeDltHrnFk
2017-04-25,67,"Для тех, кто в танке","Для тех, кто в танке.mp4",2017-04-25 - 67 - For those in the tank.mp4,https://www.youtube.com/watch?v=pqnAOg8JYR4
2017-05-07,68,Преобразователь 12 - 220 вольт,Преобразователь 12 - 220 вольт.mp4,2017-05-07 - 68 - Converter 12 - 220 volts.mp4,https://www.youtube.com/watch?v=VYao_B_sc7A
2017-05-13,69,Обратная связь по напряжению для повышающего преобразователя,Обратная связь по напряжению для повышающего преобразователя.mp4,2017-05-13 - 69 - Voltage feedback for step-up converter.mp4,https://www.youtube.com/watch?v=NBtANMN1DpI
2017-09-08,70,Обратноходовый преобразователь со стабилизированным напряжением выхода и защитой по току,Обратноходовый преобразователь со стабилизированным напряжением выхода и защитой по току.mp4,2017-09-08 - 70 - Flyback converter with stabilized output voltage and overcurrent protection.mp4,https://www.youtube.com/watch?v=3mHqxYVlc1Q
2017-09-11,71,Блок питания с защитой по току для лабораторных опытов (блок схема),Блок питания с защитой по току для лабораторных опытов (блок схема).mp4,2017-09-11 - 71 - Power supply with overcurrent protection for laboratory experiments (block diagram).mp4,https://www.youtube.com/watch?v=F7QsxQFYb2A
2017-09-11,72,Блок питания с защитой по току для лабораторных опытов (план работ и стоимость деталей),Блок питания с защитой по току для лабораторных опытов (план работ и стоимость деталей).mp4,2017-09-11 - 72 - Power supply with overcurrent protection for laboratory experiments (work plan and cost of parts).mp4,https://www.youtube.com/watch?v=G_GflTLJlZY
2017-09-12,73,Блок питания с защитой по току для лабораторных опытов (силовой модуль),Блок питания с защитой по току для лабораторных опытов (силовой модуль).mp4,2017-09-12 - 73 - Power supply with overcurrent protection for laboratory experiments (power module).mp4,https://www.youtube.com/watch?v=NvbaEO8ue0o
2017-09-14,74,Блок питания с защитой по току для лабораторных опытов (мотаем повышающий импульсный трансформатор),Блок питания с защитой по току для лабораторных опытов (мотаем повышающий импульсный трансформатор).mp4,2017-09-14 - 74 - Power supply with overcurrent protection for laboratory experiments (winding the step-up pulse transformer).mp4,https://www.youtube.com/watch?v=IjcGQcEfvhE
2017-09-17,75,Блок питания с защитой по току для лабораторных опытов (текущая сборка и маленькие хитрости),Блок питания с защитой по току для лабораторных опытов  (текущая сборка и маленькие хитрости).mp4,2017-09-17 - 75 - Power supply with overcurrent protection for laboratory experiments (current assembly and little tricks).mp4,https://www.youtube.com/watch?v=WE4L3eYD_no
2017-09-24,76,Блок питания с защитой по току для лабораторных опытов (настройка и первые тесты),Блок питания с защитой по току для лабораторных опытов (настройка и первые тесты).mp4,2017-09-24 - 76 - Power supply with overcurrent protection for laboratory experiments (tuning and first tests).mp4,https://www.youtube.com/watch?v=UIsqJitBHRg
2017-09-28,77,Блок питания с защитой по току для лабораторных опытов (защита по току),Блок питания с защитой по току для лабораторных опытов (защита по току).mp4,2017-09-28 - 77 - Power supply with overcurrent protection for laboratory experiments (overcurrent protection).mp4,https://www.youtube.com/watch?v=HnXO3Qw36HU
2017-10-23,78,Блок питания с защитой по току для лабораторных опытов (принципиальная схема),Блок питания с защитой по току для лабораторных опытов (принципиальная схема).mp4,2017-10-23 - 78 - Power supply with overcurrent protection for laboratory experiments (schematic diagram).mp4,https://www.youtube.com/watch?v=dFgz_UiUwxs
2017-12-26,79,"Катушка тесла. Расчёт, принципы настройки. Режим совмещения волн.","Катушка тесла. Расчёт, принципы настройки.  Режим совмещения волн.mp4","2017-12-26 - 79 - Tesla coil. Calculation, tuning principles. Wave superposition mode.mp4",https://www.youtube.com/watch?v=RYWMjoPBN2w
2018-01-12,80,Уединённая ёмкость для трансформатора тесла,Уединённая ёмкость для трансформатора тесла.mp4,2018-01-12 - 80 - Isolated capacitance for a Tesla transformer.mp4,https://www.youtube.com/watch?v=dhakukN1ze0
2018-01-20,81,Полумостовой преобразователь для индуктора трансформатора тесла с режимом модуляции.,Полумостовой преобразователь для индуктора трансформатора тесла с режимом модуляции.mp4,2018-01-20 - 81 - Half-bridge converter for a Tesla transformer inductor with modulation mode.mp4,https://www.youtube.com/watch?v=HFDkFOKfAx0
2018-02-09,82,Простой самодельный станок для намотки трансформаторов тесла со счётчиком оборотов.,Простой самодельный станок для намотки трансформаторов тесла со счётчиком оборотов.mp4,2018-02-09 - 82 - Simple DIY winding machine for Tesla transformers with a turn counter.mp4,https://www.youtube.com/watch?v=_wjrmI7Y6Ps
2018-02-12,83,Катушка тесла. Тест схемы полного моста на транзисторах IRF840.,Катушка тесла. Тест схемы полного моста на транзисторах IRF840.mp4,2018-02-12 - 83 - Tesla coil. Full bridge circuit test on IRF840 transistors.mp4,https://www.youtube.com/watch?v=K1gRxgT1tP0
2018-02-15,84,Мост на полевых транзисторах с трансформаторным управлением затворами.,Мост на полевых транзисторах с трансформаторным управлением затворами.mp4,2018-02-15 - 84 - Field-effect transistor bridge with transformer gate control.mp4,https://www.youtube.com/watch?v=b2-SjbjftvA
2018-02-17,85,Как правильно расчитать трансформатор тесла и его индуктор.,Как правильно расчитать трансформатор тесла и его индуктор.mp4,2018-02-17 - 85 - How to properly calculate a Tesla transformer and its inductor.mp4,https://www.youtube.com/watch?v=OM0mwwyAbks
2018-02-20,86,"Напряжение на приёмной тесле, как потенциальная возможность сверх единицы.","Напряжение на приёмной тесле, как потенциальная возможность сверх единицы.mp4",2018-02-20 - 86 - Voltage on the receiving Tesla as a potential opportunity for overunity.mp4,https://www.youtube.com/watch?v=PfkWBsRVSi4
2018-03-23,87,Вопрос - ответ. Согласование индуктора и гранаты.,Вопрос - ответ. Согласование индуктора и гранаты.mp4,2018-03-23 - 87 - Question - answer. Matching the inductor and the grenade.mp4,https://www.youtube.com/watch?v=Ogu_BKwm6f4
2018-03-25,88,"Вопрос - ответ. ТТ и здоровье, ТТ в режиме статики, неонник и диод, стране пи...ц, бонус, кит набор.","Вопрос - ответ. ТТ и здоровье, ТТ в режиме статики, неонник и диод, стране пи...ц, бонус, кит набор.mp4","2018-03-25 - 88 - Question - answer. Tesla Transformer and health, Tesla Transformer in static mode, neon bulb and diode, the country is screwed, bonus, kit set.mp4",https://www.youtube.com/watch?v=MrtLezIW39U
2018-03-26,89,"Вопрос - ответ. Теория возникновения СЭ, или откуда дровишки.","Вопрос - ответ. Теория возникновения СЭ, или откуда дровишки.mp4","2018-03-26 - 89 - Question - answer. Theory of OU (Overunity) origin, or where the firewood comes from.mp4",https://www.youtube.com/watch?v=syf5_fLPzrw
2018-03-30,90,"Вопрос - ответ. Колебания среды, судьба установки, препод и конденсатор, два киловатта, троица.","Вопрос - ответ. Колебания среды, судьба установки, препод и конденсатор, два киловатта, троица.mp4","2018-03-30 - 90 - Question - answer. Medium oscillations, fate of the installation, professor and capacitor, two kilowatts, trinity.mp4",https://www.youtube.com/watch?v=iDypaJZqieE
2018-04-08,91,Вопрос - ответ. Рыбка с плавниками.,Вопрос - ответ. Рыбка с плавниками.mp4,2018-04-08 - 91 - Question - answer. Fish with fins.mp4,https://www.youtube.com/watch?v=JpaSH0OCvAw
2018-04-19,92,Активированная вода.,Активированная вода.mp4,2018-04-19 - 92 - Activated water.mp4,https://www.youtube.com/watch?v=-_aZ1yql3Wg
2018-04-22,93,"Активированная вода. Ответы на вопросы, документы, продолжение опытов.","Активированная вода. Ответы на вопросы, документы, продолжение опытов.mp4","2018-04-22 - 93 - Activated water. Answers to questions, documents, continuation of experiments.mp4",https://www.youtube.com/watch?v=zh4osCzPLwo
2018-07-08,94,Тесла - качер.,Тесла - качер.mp4,2018-07-08 - 94 - Tesla - Kacher.mp4,https://www.youtube.com/watch?v=NphZ0BVbMkc
2018-08-01,95,Вопрос - ответ. Волновое распределение и математика.,Вопрос - ответ. Волновое распределение и математика.mp4,2018-08-01 - 95 - Question - answer. Wave distribution and mathematics.mp4,https://www.youtube.com/watch?v=VjODogGMrKE
2018-12-04,96,Трансформатор тесла по Тесле (разговор).,Трансформатор тесла по Тесле  (разговор).mp4,2018-12-04 - 96 - Tesla transformer according to Tesla (talk).mp4,https://www.youtube.com/watch?v=DibBNYr6R0Q
2018-12-06,97,Резонатор в режиме пол волны.,Резонатор в режиме пол волны.mp4,2018-12-06 - 97 - Resonator in half-wave mode.mp4,https://www.youtube.com/watch?v=OeVJNUwI7N8